C;*G*;***   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;AL5;21    ;1  ;1  ;1  ;1  ;1  ;1  ;1  ;1  ;2  ;2  ;3  ;3  ;4  ;4  ;5  ;5  ;6  ;6  ;6  ;   ;   ;   ;   ;   ;   ;   ;B  ;2;
C;AL6;21    ;1  ;1  ;1  ;1  ;1  ;1  ;1  ;1  ;1  ;1  ;2  ;2  ;2  ;2  ;3  ;3  ;3  ;3  ;3  ;   ;   ;   ;   ;   ;   ;   ;B  ;2;
C;ALE;21    ;1  ;1  ;1  ;1  ;1  ;1  ;1  ;2  ;2  ;2  ;2  ;3  ;3  ;3  ;3  ;4  ;4  ;4  ;4  ;   ;   ;   ;   ;   ;   ;   ;B  ;2;
C;ALI;**    ;35 ;35 ;35 ;35 ;36 ;36 ;37 ;37 ;38 ;38 ;39 ;39 ;41 ;41 ;41 ;41 ;41 ;   ;   ;   ;   ;   ;   ;   ;   ;   ;B  ;2;
C;AMB;**    ;34 ;34 ;35 ;35 ;36 ;36 ;37 ;37 ;38 ;38 ;39 ;39 ;40 ;40 ;41 ;41 ;41 ;   ;   ;   ;   ;   ;   ;   ;   ;34 ;B  ;2;
C;B  ;**    ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;B  ;2;
C;B  ;21    ;   ;   ;   ;   ;   ;   ;   ;   ;B  ;B  ;B  ;B  ;B  ;B  ;B  ;B  ;B  ;B  ;B  ;   ;   ;   ;   ;   ;   ;   ;B  ;2;
C;B4D;21    ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;1  ;1  ;1  ;1  ;1  ;1  ;1  ;1  ;1  ;   ;   ;   ;   ;   ;   ;   ;B  ;2;
C;BCU;29    ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;2  ;2  ;2  ;2  ;2  ;2  ;2  ;2  ;2  ;2  ;2  ;2  ;2  ;   ;   ;B  ;2;
C;CO1;AA    ;  1;  1;  1;  1;  1;  1;  2;  2;  2;  2;  3;  3;  3;  3;  3;  3;  3;   ;   ;   ;   ;   ;   ;   ;   ;   ;B  ;2;
C;CO1;B     ;1  ;1  ;1  ;1  ;2  ;2  ;2  ;2  ;3  ;3  ;3  ;3  ;4  ;4  ;4  ;4  ;4  ;   ;   ;   ;   ;   ;   ;   ;   ;   ;B  ;2;
C;CON;**    ;1  ;1  ;1  ;1  ;2  ;2  ;2  ;2  ;3  ;3  ;3  ;3  ;4  ;4  ;4  ;4  ;4  ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;CS1;C     ;36 ;36 ;36 ;36 ;36 ;36 ;38 ;38 ;38 ;38 ;40 ;40 ;40 ;40 ;40 ;40 ;40 ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;P1 ;C     ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;PS1;C     ;35 ;35 ;35 ;35 ;35 ;35 ;37 ;37 ;37 ;37 ;39 ;39 ;39 ;39 ;41 ;41 ;41 ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;PU ;B     ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;PU ;C     ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;PU1;**    ;1  ;1  ;1  ;1  ;2  ;2  ;2  ;2  ;3  ;3  ;3  ;3  ;4  ;4  ;4  ;4  ;4  ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;PU1;AA    ;  1;  1;  1;  1;  1;  1;  1;  1;  2;  2;  2;  2;  2;  2;  2;  2;  2;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;PU1;B     ;1  ;1  ;1  ;1  ;2  ;2  ;2  ;2  ;3  ;3  ;3  ;3  ;4  ;4  ;4  ;4  ;4  ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;PU1;G     ;1  ;1  ;1  ;1  ;2  ;2  ;2  ;2  ;3  ;3  ;3  ;3  ;4  ;4  ;4  ;4  ;4  ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;PU2;**    ;1  ;1  ;1  ;1  ;1  ;1  ;2  ;2  ;2  ;2  ;2  ;3  ;3  ;3  ;3  ;3  ;3  ;   ;   ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;RG1;      ;A  ;A  ;A  ;A  ;A  ;A  ;A  ;A  ;B  ;B  ;B  ;B  ;B  ;B  ;C  ;C  ;C  ;C  ;C  ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;RG2;      ;  A;  A;  A;  A;  A;  A;  B;  B;  B;  B;  B;  B;  C;  C;  C;  C;  C;  C;  C;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;RG3;      ;AB ;AB ;AB ;AB ;AB ;AB ;BC ;BC ;BC ;BC ;BC ;BC ;BC ;BC ;FG ;FG ;FG ;FG ;FG ;   ;   ;   ;   ;   ;   ;   ;I  ;2;
C;RI1;      ;  1;  1;  1;  1;  1;  1;  1;  1;   ;   ;   ;   ;  3;  3;  3;  3;  3;  3;  3;   ;   ;   ;   ;   ;   ;   ;B  ;2;
C;SSD;*     ;34 ;34 ;34 ;35 ;35 ;36 ;36 ;37 ;37 ;38 ;38 ;39 ;39 ;40 ;40 ;41 ;41 ;42 ;42 ;   ;   ;   ;   ;   ;   ;   ;AA ;2;
